.F001.A	ST_GE_PORT_CTRL_000	GEç½‘å£çš„æ‰“å¼€å’Œå…³é—­æ¥å£	GEåˆå§‹åŒ–åæ‰“å¼€å’Œå…³é—­ç½‘å£	enable_and_disable_interface.sh	enable_and_disable_interface	off	case_script/enable_and_disable_interface.sh execution script does not exist, please check.
.F001.A	ST_GE_PORT_CTRL_000	GEç½‘å£çš„æ‰“å¼€å’Œå…³é—­æ¥å£	GEåˆå§‹åŒ–åæ‰“å¼€å’Œå…³é—­ç½‘å£	enable_and_disable_interface.sh	enable_and_disable_interface	off	
PV-434	R.HNS.F001.A	ST_GE_PORT_CTRL_000	GEÍø¿ÚµÄ´ò¿ªºÍ¹Ø±Õ½Ó¿Ú	GE³õÊ¼»¯ºó´ò¿ªºÍ¹Ø±ÕÍø¿Ú	enable_and_disable_interface.sh	ge_enable_and_disable_interface	on	case_script/GE³õÊ¼»¯ºó´ò¿ªºÍ¹Ø±ÕÍø¿Ú execution script does not exist, please check.
PV-434	R.HNS.F001.A	ST_GE_PORT_CTRL_005		GE³õÊ¼»¯ºó¶à´Î´ò¿ªºÍ¹Ø±ÕÍø¿Ú	enable_and_disable_interface.sh	ge_continued_enable_and_disable_interface	on	case_script/GE³õÊ¼»¯ºó¶à´Î´ò¿ªºÍ¹Ø±ÕÍø¿Ú execution script does not exist, please check.
PV-434	R.HNS.F001.A	ST_GE_PORT_CTRL_010		GEÊÕ·¢°ü¹ı³ÌÖĞ´ò¿ªºÍ¹Ø±ÕÍø¿Ú	enable_and_disable_interface.sh	ge_flow_enable_and_disable_interface	on	case_script/GEÊÕ·¢°ü¹ı³ÌÖĞ´ò¿ªºÍ¹Ø±ÕÍø¿Ú execution script does not exist, please check.
PV-434	R.HNS.F001.A	ST_GE_PORT_CTRL_015		GEÊÕ·¢°ü¹ı³ÌÖĞ¶à´Î´ò¿ªºÍ¹Ø±ÕÍø¿Ú	enable_and_disable_interface.sh	ge_flow_continued_enable_and_disable_interface	on	case_script/GEÊÕ·¢°ü¹ı³ÌÖĞ¶à´Î´ò¿ªºÍ¹Ø±ÕÍø¿Ú execution script does not exist, please check.
PV-434	R.HNS.F001.A	ST_GE_PORT_CTRL_020		GEÍ£Ö¹ÊÕ·¢°üºó¶à´Î´ò¿ªºÍ¹Ø±ÕÍø¿Ú	enable_and_disable_interface.sh	ge_continued_enable_and_disable_interface	on	case_script/GEÍ£Ö¹ÊÕ·¢°üºó¶à´Î´ò¿ªºÍ¹Ø±ÕÍø¿Ú execution script does not exist, please check.
PV-434	R.HNS.F001.A	ST_XGE_PORT_CTRL_000	XGE/LGEÍø¿ÚµÄ´ò¿ªºÍ¹Ø±Õ½Ó¿Ú	XGE³õÊ¼»¯ºó´ò¿ªºÍ¹Ø±ÕÍø¿Ú	enable_and_disable_interface.sh	xge_enable_and_disable_interface	on	case_script/XGE³õÊ¼»¯ºó´ò¿ªºÍ¹Ø±ÕÍø¿Ú execution script does not exist, please check.
PV-434	R.HNS.F001.A	ST_XGE_PORT_CTRL_005		XGE³õÊ¼»¯ºó¶à´Î´ò¿ªºÍ¹Ø±ÕÍø¿Ú	enable_and_disable_interface.sh	xge_continued_enable_and_disable_interface	on	case_script/XGE³õÊ¼»¯ºó¶à´Î´ò¿ªºÍ¹Ø±ÕÍø¿Ú execution script does not exist, please check.
PV-434	R.HNS.F001.A	ST_XGE_PORT_CTRL_010		XGEÊÕ·¢°ü¹ı³ÌÖĞ´ò¿ªºÍ¹Ø±ÕÍø¿Ú	enable_and_disable_interface.sh	xge_flow_enable_and_disable_interface	on	case_script/XGEÊÕ·¢°ü¹ı³ÌÖĞ´ò¿ªºÍ¹Ø±ÕÍø¿Ú execution script does not exist, please check.
PV-434	R.HNS.F001.A	ST_XGE_PORT_CTRL_015		XGEÊÕ·¢°ü¹ı³ÌÖĞ¶à´Î´ò¿ªºÍ¹Ø±ÕÍø¿Ú	enable_and_disable_interface.sh	xge_flow_continued_enable_and_disable_interface	on	case_script/XGEÊÕ·¢°ü¹ı³ÌÖĞ¶à´Î´ò¿ªºÍ¹Ø±ÕÍø¿Ú execution script does not exist, please check.
PV-434	R.HNS.F001.A	ST_XGE_PORT_CTRL_020		XGEÍ£Ö¹ÊÕ·¢°üºó¶à´Î´ò¿ªºÍ¹Ø±ÕÍø¿Ú	enable_and_disable_interface.sh	xge_continued_enable_and_disable_interface	on	case_script/XGEÍ£Ö¹ÊÕ·¢°üºó¶à´Î´ò¿ªºÍ¹Ø±ÕÍø¿Ú execution script does not exist, please check.
PV-435	R.HNS.F002.A	ST_GE_TX_RX_01	GE»ù±¾ÊÕ·¢±¨ÎÄ¹¦ÄÜ	GEÍø¿ÚÓë¶Ô¶Ëping²Ù×÷	rx_tx_functionality.sh	ge_two_ends_receiving_and_sending	on	case_script/GEÍø¿ÚÓë¶Ô¶Ëping²Ù×÷ execution script does not exist, please check.
PV-435	R.HNS.F002.A	ST_XGE_TX_RX_01	XGE»ù±¾ÊÕ·¢±¨ÎÄ¹¦ÄÜ	XGEÍø¿ÚÓë¶Ô¶Ëping²Ù×÷	rx_tx_functionality.sh	xge_two_ends_receiving_and_sending	on	case_script/XGEÍø¿ÚÓë¶Ô¶Ëping²Ù×÷ execution script does not exist, please check.
PV-438	R.HNS.F005.A	ST_GE_VLAN_01	GEÍø¿ÚVlan»ù±¾¹¦ÄÜ	GE Vlan ping°ü¹¦ÄÜÕı³£	vlan_tagged_traffic_support.sh	ge_set_vlan	on	case_script/GE Vlan ping°ü¹¦ÄÜÕı³£ execution script does not exist, please check.
PV-438	R.HNS.F005.A	ST_GE_VLAN_02		ÉèÖÃVlanÍø¿Ú	vlan_tagged_traffic_support.sh	ge_set_vlan	on	case_script/ÉèÖÃVlanÍø¿Ú execution script does not exist, please check.
PV-438	R.HNS.F005.A	ST_GE_VLAN_03		¶à¶Ë¿ÚVlan ping°ü¹¦ÄÜÕı³£	vlan_tagged_traffic_support.sh	ge_vlan_multi_port	on	case_script/¶à¶Ë¿ÚVlan ping°ü¹¦ÄÜÕı³£ execution script does not exist, please check.
PV-438	R.HNS.F005.A	ST_GE_VLAN_04		VlanÅäÖÃÈİ´í¹¦ÄÜ²âÊÔ	vlan_tagged_traffic_support.sh	vlan_fault_tolerant	on	case_script/VlanÅäÖÃÈİ´í¹¦ÄÜ²âÊÔ execution script does not exist, please check.
